timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1539805719585,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-109,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719617,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-110,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805719652,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-111,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719683,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-112,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719718,4,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-113,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,4
1539805719752,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-114,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,1
1539805719784,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-115,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805719818,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-116,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805719852,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-117,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805719884,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-118,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805719921,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-119,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805719953,1,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-120,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,1
1539805719983,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-121,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805720016,1,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-122,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,1
1539805720052,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-123,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805720083,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-124,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805720121,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-125,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805720154,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-126,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805720187,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-127,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
